algorithm,path_length,nodes_explored,execution_time,branching_factor
BFS,29,154,0.000208,1.0519
DFS,29,796,0.00081,1.0075
Greedy Manhattan,29,38,5.2e-05,1.2368
Greedy Euclidean,33,85,0.000121,1.3294
A* Manhattan,29,59,7.6e-05,1.1695
A* Euclidean,29,69,0.00015,1.1449
